SMILES,IC50
C#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5C[C@@H](F)C6)nc4c3F)c12,1.2
Fc1c(-c2cccc3cccc(Br)c23)ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc12,1.2
Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2ccccc2c1,1.25
C#Cc1c(F)ccc2cccc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,1.25
CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3Cl)c(-c3cc(O)cc4ccccc34)cc2n1,1.3
CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5C(COC(=O)N(C)C)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,1.3
C[C@@H]1C[C@H]1c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,1.33
Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,1.35
CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)c(F)c2n1,1.4
Oc1cc(-c2ccc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,1.4
COC[C@H]1CC[C@@]2(COc3nc(N4CC5CCC(C4)N5)c4cnc(-c5cc(O)cc6ccccc56)c(F)c4n3)CCCN12,1.4
CCc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)N5CCOCC5)CC6)nc4c3F)c12,1.4
CCc1cccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@]56CCCN5C[C@@H](F)C6)nc4c3F)c12,1.4
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H]6CC[C@@H](C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,1.47
CCc1cccc2cccc(N3CCc4c(nc(OCC56CCCN5C(CC5CS(=O)(=O)CCN5C(=O)O)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,1.5
CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,1.5
CN1CCC[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2cc(Oc3ccccc3C#N)c(-c3cc(O)cc4ccccc34)cc2n1,1.6
CCc1c(F)ccc2cc(O)cc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,1.6
C#CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,1.6
CC(C)c1c(Cl)cc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F,1.6
CN1CCC[C@H]1COc1nc(N2CC3C[C@@H](O)C(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,1.6
Oc1ccc(C(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c1,1.6
N#Cc1ccccc1Oc1cc2c(N3C[C@H]4CC[C@H](C3)N4)nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2cc1-c1cc(O)cc2ccccc12,1.7
Oc1ccc(C(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1,1.7
Oc1cc(-c2ncc3c(N4C[C@H]5CC[C@@H](C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2ccccc2c1,1.74
CN1C[C@H](F)C[C@H]1COc1nc(N2C[C@H]3CC[C@@H](C2)N3)c2ccc(-c3cc(O)cc4ccccc34)c(F)c2n1,1.8
CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,1.8
CCc1c(F)ccc2cccc(N3CCc4c(nc(OCC56CCCN5CCC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,1.8
CC(C)c1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,1.9
CCc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@]56CCCN5[C@@H](COC(=O)NC)CC6)nc4c3F)c12,1.9
CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@H](OC(=O)N(CC)CCO)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,2.0
CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@H](OC(=O)N(C)CCOC)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,2.0
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@H](C)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
Oc1cc(-c2ncc3c(N4CCCC(c5ncn[nH]5)C4)nc(OCC45CCCN4CCC5)nc3c2F)c2c(F)c(F)ccc2c1,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CC(O)C(C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNC6=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(NCc5c[nH]c6ncccc56)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(CS(N)(=O)=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(O)(C(F)F)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H](O)C[C@H](F)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@H](O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6C(=O)NC(=O)C6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,2.0
NS(=O)(=O)CC1CCCN(c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc3c(F)c(-c4cc(O)cc5ccc(F)c(F)c45)ncc23)C1,2.0
CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CNC(=O)C6)C5)nc(OC[C@]56CCCN5C[C@@H](O)C6)nc4c3F)c12,2.0
