ID,SMILES,Kd,IC50,erk_IC50
646_108,CCc1cccc2cccc(N3CCc4c(nc(OC[C@]56CCCN5[C@H](OC(=O)N(C)CCOC)CC6)nc4N4C[C@H]5CC[C@@H](C4)N5)C3)c12,,2.0,585.0
azaq_10,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,297.0
azaq_13,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@H](C)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,18.0
azaq_137,Oc1cc(-c2ncc3c(N4CCCC(c5ncn[nH]5)C4)nc(OCC45CCCN4CCC5)nc3c2F)c2c(F)c(F)ccc2c1,,2.0,10000.0
azaq_140,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CC(O)C(C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,27.0
azaq_146,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNC6=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,22.0
azaq_150,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(NCc5c[nH]c6ncccc56)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,435.0
azaq_170,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(CS(N)(=O)=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_184,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC(O)(C(F)F)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,66.0
azaq_192,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H](O)C[C@H](F)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,90.0
azaq_193,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@H](O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,94.0
azaq_194,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,92.0
azaq_197,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6C(=O)NC(=O)C6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,144.0
azaq_200,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,47.0
azaq_202,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,,2.0,60.0
azaq_203,NS(=O)(=O)CC1CCCN(c2nc(OC[C@@]34CCCN3C[C@H](F)C4)nc3c(F)c(-c4cc(O)cc5ccc(F)c(F)c45)ncc23)C1,,2.0,8014.0
azaq_206,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CNC(=O)C6)C5)nc(OC[C@]56CCCN5C[C@@H](O)C6)nc4c3F)c12,,2.0,6961.0
azaq_24,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNC(=O)C6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,1684.0
azaq_300,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@]6(CNC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,251.0
azaq_301,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@@H](CO)CC6)nc4c3F)c12,,2.0,216.0
azaq_303,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@]56CCCN5[C@@H](CO)CC6)nc4c3F)c12,,2.0,3288.0
azaq_304,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@H](CO)CC6)nc4c3F)c12,,2.0,1369.0
azaq_307,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(C5)NC(=O)NC6=O)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,117.0
azaq_311,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](O)C6)nc4c3F)c12,,2.0,738.0
azaq_313,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@]56CCCN5[C@H](COC(=O)N(C)C)CC6)nc4c3F)c12,,2.0,
azaq_314,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OC[C@@]56CCCN5[C@H](COC(=O)N(C)C)CC6)nc4c3F)c12,,2.0,
azaq_316,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,,2.0,
azaq_317,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCCCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_318,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(=O)NC6=O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_319,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(CC(=O)N6)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,,2.0,
azaq_321,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCOC[C@@](C)(O)C5)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,,2.0,
azaq_322,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@]6(C5)NC(=O)NC6=O)nc(OCC5(CN6CCCC6)CC5)nc4c3F)c12,,2.0,
azaq_325,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCCCCC5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_326,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N(C)C)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_327,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5C[C@H](CO)C[C@@](C)(O)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_330,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CNS(=O)(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
azaq_331,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCCCC6)CC5)nc4c3F)c12,,2.0,
azaq_332,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCC[C@@](C)(O)C5)nc(OCC5(CN6CCOCC6)CC5)nc4c3F)c12,,2.0,
azaq_333,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)N(C)C)cc6C5)nc(OCC5(CN(C)C)CC5)nc4c3F)c12,,2.0,
azaq_339,CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCn6nc(C(=O)NC)cc6C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,,2.0,
